English,POS,Thai
close 1,"Verb (usu participle), Verb (transitive)",ปิด 1
close 2,"Verb (usu participle), Verb (transitive)",ปิด 2
closed,Adjective,ปิด
closely,Adverb,อย่างใกล้ชิด
closet,"Noun, Verb (transitive)",ตู้เสื้อผ้า
cloth,Noun,ผ้า
clothes,"Plural, Noun",เสื้อผ้า
clothing,Noun,เสื้อผ้า
cloud,"Noun, Verb (usu participle)",คลาวด์
club,"Noun, Verb (usu participle)",สโมสร
coach,"Noun, Verb (usu participle)",โค้ช
coal,"Noun, Verb (usu participle)",ถ่านหิน
coast,"Noun, Verb (usu participle)",ชายฝั่ง
coat,"Noun, Verb (transitive)",เสื้อโค้ท
code,"Noun, Verb (transitive)",รหัส
coffee,Noun,กาแฟ
coin,"Noun, Verb (transitive)",เหรียญ
cold,"Adjective, Noun",เย็น
coldly,Adverb,หนาว
collapse,"Verb (intransitive), Noun",ทรุด
colleague,Noun,เพื่อนร่วมงาน
collect,"Verb (usu participle), Verb (transitive)",เก็บรวบรวม
collection,Noun,ของสะสม
college,Noun,วิทยาลัย
colour,"Noun, Verb (transitive)",สี
coloured,Adjective,มีสี
column,Noun,คอลัมน์
combination,Noun,การผสมผสาน
combine,"Verb (usu participle), Noun",รวมกัน
come,"Verb (usu participle), Verb (transitive)",มา
come across,"Verb (usu participle), Verb (transitive)",เจอ
come down,"Verb (usu participle), Verb (transitive)",ลงมา
comedy,Noun,ตลก
come from,"Verb (usu participle), Verb (transitive)",มาจาก
come in,"Verb (usu participle), Verb (transitive)",เข้ามา
come off,"Verb (usu participle), Verb (transitive)",ออกมา
come on,"Verb (usu participle), Verb (transitive)",มาเร็ว
come out,"Verb (usu participle), Verb (transitive)",ออกมา
come round,"Verb (usu participle), Verb (transitive)",มารอบ ๆ
come to,"Verb (usu participle), Verb (transitive)",มา
come up,"Verb (usu participle), Verb (transitive)",ขึ้นมา
come up to,"Verb (usu participle), Verb (transitive)",ขึ้นมา
comfort,"Noun, Verb (transitive)",ปลอบโยน
comfortable,Adjective,สะดวกสบาย
comfortably,Adverb,สบาย ๆ
command,"Verb (usu participle), Verb (transitive)",สั่งการ
comment,"Noun, Verb (usu participle)",ความคิดเห็น
commercial,"Adjective, Noun",ทางการค้า
commission,"Noun, Verb (transitive)",คณะกรรมการ
commit,Verb (usu participle),ให้สัญญา
commitment,Noun,ความมุ่งมั่น
committee,Noun,คณะกรรมการ
common,"Adjective, Noun",ทั่วไป
commonly,Adverb,โดยทั่วไป
communicate,"Verb (usu participle), Verb (transitive)",สื่อสาร
communication,Noun,การสื่อสาร
community,"Noun, Adjective",ชุมชน
company,"Noun, Verb (usu participle)",บริษัท
compare,"Verb (transitive), Verb (intransitive)",เปรียบเทียบ
comparison,Noun,การเปรียบเทียบ
compete,"Verb (intransitive), Verb (usu participle)",แข่งขัน
competition,Noun,การแข่งขัน
competitive,Adjective,การแข่งขัน
complain,"Verb (intransitive), Verb (usu participle)",ร้องทุกข์
complaint,Noun,ร้องเรียน
complete,"Adjective, Verb (transitive)",สมบูรณ์
completely,Adverb,อย่างสมบูรณ์
complex,"Adjective, Noun",ซับซ้อน
complicate,"Verb (usu participle), Adjective",ซับซ้อน
complicated,Adjective,ที่ซับซ้อน
computer,Noun,คอมพิวเตอร์
concentrate,"Verb (transitive), Verb (intransitive)",สมาธิ
concentrate on,"Verb (transitive), Verb (intransitive)",มีสมาธิกับ
concentration,Noun,ความเข้มข้น
concept,Noun,แนวคิด
concern,"Verb (transitive), Noun",กังวล
concerned,Adjective,น่ากังวล
concerning,"Preposition, Adjective",เกี่ยวกับ
concert,"Noun, Verb (usu participle)",คอนเสิร์ต
conclude,Verb (usu participle),สรุป
conclusion,Noun,บทสรุป
concrete,"Noun, Adjective",คอนกรีต
condition,"Noun, Verb (usu participle)",เงื่อนไข
conduct,"Noun, Verb (usu participle)",จัดการ
conference,Noun,การประชุม
confidence,Noun,ความมั่นใจ
confident,"Adjective, Noun",มั่นใจ
confidently,Adverb,อย่างมั่นใจ
confine,"Verb (usu participle), Verb (transitive)",จำกัด
confined,Adjective,ถูกคุมขัง
confirm,"Verb (transitive), Verb (usu participle)",ยืนยัน
conflict,"Noun, Verb (usu participle)",ขัดแย้ง
confront,"Verb (transitive), Verb (usu participle)",เผชิญหน้า
confuse,"Verb (transitive), Verb (usu participle)",สับสน
confused,"Verb (transitive), Adjective",สับสน
confusing,"Verb (transitive), Adjective",สับสน
confusion,Noun,ความสับสน
congratulate,"Verb (transitive), Verb (usu participle)",ขอแสดงความยินดี
congratulation,"Noun, Interjection",ขอแสดงความยินดี
congress,Noun,รัฐสภา
connect,"Verb (usu participle), Verb (transitive)",เชื่อมต่อ
connected,Adjective,เชื่อมต่อแล้ว
connection,Noun,การเชื่อมต่อ
conscious,Adjective,มีสติ
consequence,Noun,ผลที่ตามมา
conservative,"Adjective, Noun",ซึ่งอนุรักษ์นิยม
consider,Verb (usu participle),พิจารณา
considerable,Adjective,มาก
considerably,Adverb,อย่างมาก
consideration,Noun,การพิจารณา
consist,"Verb (intransitive), Verb (usu participle)",ประกอบด้วย
consist of,"Verb (intransitive), Verb (usu participle)",ประกอบด้วย
constant,"Adjective, Noun",คงที่
constantly,Adverb,อย่างสม่ำเสมอ
construct,"Verb (usu participle), Noun",สร้าง
construction,Noun,การก่อสร้าง
consult,"Verb (usu participle), Verb (transitive)",ปรึกษา
consumer,Noun,ผู้บริโภค
contact,"Noun, Verb (usu participle)",ติดต่อ
contain,"Verb (transitive), Verb (usu participle)",บรรจุ
container,Noun,คอนเทนเนอร์
contemporary,"Adjective, Noun",ร่วมสมัย
content 1,"Noun, Verb (transitive)",เนื้อหา 1
contest,"Noun, Verb (usu participle)",การประกวด
context,Noun,บริบท
continent,"Noun, Adjective",ทวีป
continue,"Verb (usu participle), Verb (transitive)",ดำเนินการต่อ
continuous,Adjective,อย่างต่อเนื่อง
continuously,Adverb,อย่างต่อเนื่อง
contract,"Verb (usu participle), Verb (transitive)",สัญญา
contrast,"Verb (usu participle), Noun",ตัดกัน
contrasting,Adjective,ตัดกัน
contribute,"Verb (usu participle), Verb (intransitive)",มีส่วนช่วย
contribution,Noun,ผลงาน
control,"Verb (usu participle), Noun",ควบคุม
controlled,"Verb (usu participle), Adjective",ควบคุม
convenient,Adjective,สะดวก
convention,Noun,การประชุม
conventional,"Adjective, Noun",ธรรมดา
conversation,Noun,การสนทนา
convert,"Verb (usu participle), Verb (intransitive)",แปลง
convince,"Verb (transitive), Verb (usu participle)",โน้มน้าวใจ
cook,"Noun, Verb (usu participle)",ทำอาหาร
cooker,Noun,หม้อหุงข้าว
cookie,Noun,คุกกี้
cooking,"Noun, Adjective",การทำอาหาร
cool,"Adjective, Adverb",เย็น
cool down,"Adjective, Adverb",เย็นลง
cope,"Verb (intransitive), Verb (transitive)",รับมือ
copy,"Noun, Verb (usu participle)",สำเนา
core,"Noun, Verb (transitive)",แกนกลาง
corner,"Noun, Verb (transitive)",มุม
correct,"Verb (transitive), Adjective",ถูกต้อง
correctly,Adverb,อย่างถูกต้อง
cost,"Noun, Verb (usu participle)",ค่าใช้จ่าย
cottage,Noun,กระท่อม
cotton,"Noun, Verb (usu participle)",ฝ้าย
cough,"Verb (intransitive), Verb (transitive)",ไอ
coughing,"|, Noun",ไอ
could,Verb (usu participle),สามารถ
council,Noun,สภา
count,"Verb (usu participle), Verb (transitive)",นับ
counter,"Noun, Adverb",เคาน์เตอร์
count on,"Verb (usu participle), Verb (transitive)",นับบน
country,"Noun, Adjective",ประเทศ
countryside,Noun,ชนบท
county,"Noun, Adjective",เขต
couple,"Noun, Pronoun",คู่
courage,Noun,ความกล้าหาญ
course,"Noun, Verb (intransitive)",คอร์ส
court,"Noun, Verb (usu participle)",ศาล
cousin,"Noun, Adverb",ลูกพี่ลูกน้อง
cover,"Verb (usu participle), Verb (intransitive)",ปิดบัง
covered,"|, Adjective",ครอบคลุม
covering,"Noun, Adjective",ครอบคลุม
cover up,"Verb (usu participle), Verb (intransitive)",ปกปิด
cow,"Noun, Verb (transitive)",วัว
crack,"Verb (usu participle), Verb (transitive)",แตก
cracked,Adjective,แตก
craft,"Noun, Verb (transitive)",งานฝีมือ
crash,"Verb (usu participle), Verb (intransitive)",ชน
crazy,"Adjective, Noun",คลั่งไคล้
cream,"Noun, Verb (transitive)",ครีม
create,"Verb (transitive), Verb (intransitive)",สร้าง
creature,Noun,สิ่งมีชีวิต
credit,"Noun, Verb (transitive)",เครดิต
credit card,"Noun, Verb (transitive)",บัตรเครดิต
crime,Noun,อาชญากรรม
criminal,"Noun, Adjective",อาชญากร
crisis,Noun,วิกฤติ
crisp,"Adjective, Verb (usu participle)",กรอบ
criterion,Noun,เกณฑ์
critical,Adjective,วิกฤต
criticism,Noun,การวิพากษ์วิจารณ์
criticize,Verb (usu participle),วิพากษ์วิจารณ์
crop,"Noun, Verb (usu participle)",ครอบตัด
cross,"Noun, Verb (transitive)",ข้าม
cross out,"Noun, Verb (transitive)",ขีดฆ่า
crowd,"Noun, Verb (intransitive)",ฝูงชน
crowded,Adjective,แออัด
crown,"Noun, Verb (transitive)",มงกุฎ
crucial,Adjective,สำคัญ
cruel,Adjective,โหดร้าย
crush,"Verb (usu participle), Verb (intransitive)",บดขยี้
cry,"Verb (usu participle), Verb (intransitive)",ร้องไห้
cry out,"Verb (usu participle), Verb (intransitive)",ร้องไห้ออกมา
cultural,Adjective,ทางวัฒนธรรม
culture,"Noun, Verb (transitive)",วัฒนธรรม
cup,"Noun, Verb (usu participle)",ถ้วย
cupboard,Noun,ตู้
curb,"Noun, Verb (transitive)",ขอบถนน
cure,"Verb (transitive), Verb (intransitive)",รักษา
curious,Adjective,อยากรู้
curiously,Adverb,อยากรู้อยากเห็น
curl,"Verb (intransitive), Verb (transitive)",ขด
curl up,"Verb (intransitive), Verb (transitive)",ขดตัว
curly,Adjective,หยิกงอ
current,"Adjective, Noun",ปัจจุบัน
currently,Adverb,ตอนนี้
curtain,"Noun, Verb (transitive)",ม่าน
curve,"Noun, Verb (usu participle)",เส้นโค้ง
curved,"Noun, Verb (usu participle)",โค้ง
custom,"Noun, Adjective",กำหนดเอง
customer,Noun,ลูกค้า
customs,Noun,ศุลกากร
cut,"Verb (usu participle), Verb (transitive)",ตัด
cut back,"Verb (usu participle), Verb (transitive)",ตัดกลับ
cut down,"Verb (usu participle), Verb (transitive)",ตัดลง
cut off,"Verb (usu participle), Verb (transitive)",ตัดออก
cut out,"Verb (usu participle), Verb (transitive)",ตัดออก
cut up,"Verb (usu participle), Verb (transitive)",ตัดขึ้น
cycle,"Noun, Verb (transitive)",วงจร
cycling,Noun,การปั่นจักรยาน
dad,Noun,พ่อ
daily,"Adjective, Noun",รายวัน
damage,"Noun, Verb (transitive)",ความเสียหาย
damp,"Adjective, Noun",ชื้น
dance,"Verb (intransitive), Verb (transitive)",เต้นรำ
dancer,Noun,นักเต้น
dancing,"Verb (usu participle), Noun",การเต้นรำ
danger,Noun,อันตราย
dangerous,Adjective,อันตราย
dare,"Verb (transitive), Noun",กล้า
